Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
204;21100199719;"AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proc. of the Symposium on Agents that Want and Like: Motivational and Emotional Roots of Cognition and Action";conference and proceedings;"-";0,110;-;5;0;25;0;6;23;0,24;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction"
205;21100225804;"Proceedings of the 2nd Indian International Conference on Artificial Intelligence, IICAI 2005";conference and proceedings;"-";0,110;-;13;0;259;0;47;257;0,18;0,00;India;Asiatic Region;"";"";"Artificial Intelligence"
206;21100199744;"AISB'05 Convention:Proceedings of the Joint Symposium on Virtual Social Agents: Social Presence Cues for Virtual Humanoids Empathic Interaction with Synthetic Characters Mind Minding Agents";conference and proceedings;"-";0,109;-;9;0;33;0;7;27;0,21;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
207;21100810630;"Proceedings - 3rd International Conference on Intelligent Sensing and Information Processing, ICISIP 2005";conference and proceedings;"-";0,109;-;9;0;43;0;10;41;0,23;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Hardware and Architecture; Software; Theoretical Computer Science"
208;21100420809;"Proceedings of the 6th Chinese Optoelectronics Symposium, COES 2003";conference and proceedings;"-";0,109;-;4;0;80;0;9;78;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Human-Computer Interaction; Information Systems; Information Systems and Management"
209;21100496828;"Intelligent Transportation Society of America - 12th World Congress on Intelligent Transport Systems 2005";conference and proceedings;"-";0,107;-;4;0;3;0;1;3;0,33;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Industrial and Manufacturing Engineering; Mechanical Engineering"
210;87936;"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence";journal;"10036059";0,107;Q4;23;140;252;1646;21;252;0,08;11,76;China;Asiatic Region;"";"2001-2021";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4)"
211;24809;"Journal of Memetics";journal;"13664786";0,106;Q4;15;0;13;0;3;12;0,13;0,00;United Kingdom;Western Europe;"Manchester Metropolitan University";"1997-2005";"Philosophy (Q3); Anthropology (Q4); Artificial Intelligence (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
212;21100332607;"Proceedings of CGAMES 2005 - 7th International Conference on Computer Games: Artificial Intelligence, Animation, Mobile, Educational and Serious Games";conference and proceedings;"-";0,106;-;4;0;49;0;20;47;0,41;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
213;21100255460;"Proceedings of the 2005 UK Workshop on Computational Intelligence, UKCI 2005";conference and proceedings;"-";0,105;-;6;0;44;0;3;42;0,07;0,00;United Kingdom;Western Europe;"";"";"Applied Mathematics; Artificial Intelligence"
214;71051;"Psyche";journal;"1039723X";0,105;Q4;18;69;43;1000;3;43;0,07;14,49;United States;Northern America;"Association for the Scientific Study of Conciousness";"1997-1998, 2000-2010";"Philosophy (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
215;21100255061;"IADIS International Conference on Cognition and Exploratory Learning in Digital Age, CELDA 2005";conference and proceedings;"-";0,104;-;8;0;92;0;26;91;0,28;0,00;Portugal;Western Europe;"";"";"Artificial Intelligence; Education"
216;21100217610;"WMSCI 2005 - The 9th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings";conference and proceedings;"-";0,104;-;7;0;243;0;26;240;0,11;0,00;France;Western Europe;"";"";"Artificial Intelligence; Computer Networks and Communications; Information Systems"
217;21100497299;"Collection of Technical Papers - AIAA 5th ATIO and the AIAA 16th Lighter-than-Air Systems Technology Conference and Balloon Systems Conference";conference and proceedings;"-";0,103;-;13;0;51;0;20;50;0,39;0,00;United States;Northern America;"";"";"Artificial Intelligence; Automotive Engineering; Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Mechanical Engineering; Transportation"
218;21100422037;"Foundations of Intrusion Tolerant Systems, OASIS 2003";conference and proceedings;"-";0,102;-;7;0;26;0;4;24;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Signal Processing"
219;21100569458;"Gamma Titanium Aluminides 2003";conference and proceedings;"-";0,102;-;4;0;12;0;2;12;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering"
220;21100496386;"International Astronautical Federation - 56th International Astronautical Congress 2005";conference and proceedings;"-";0,102;-;6;0;167;0;27;165;0,16;0,00;France;Western Europe;"";"";"Artificial Intelligence; Computer Networks and Communications; Information Systems"
221;93922;"Proceedings of the IASTED International Conference on Artificial Intelligence and Soft Computing";conference and proceedings;"-";0,102;-;6;0;65;0;7;64;0,00;0,00;Canada;Northern America;"";"";"Artificial Intelligence; Development"
222;21100377765;"14th International Symposium on Measurement and Control in Robotics 2004, ISMCR 2004";conference and proceedings;"-";0,101;-;2;0;32;0;0;30;0,00;0,00;Hungary;Eastern Europe;"";"";"Artificial Intelligence; Control and Systems Engineering; Human-Computer Interaction"
223;21100390185;"2014 14th International Conference on Hybrid Intelligent Systems, HIS 2014";conference and proceedings;"-";0,101;-;5;0;24;0;0;24;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Information Systems; Software"
224;21100204104;"22nd International Symposium on Automation and Robotics in Construction, ISARC 2005";conference and proceedings;"-";0,101;-;6;0;54;0;7;53;0,13;0,00;Germany;Western Europe;"";"";"Artificial Intelligence; Building and Construction; Human-Computer Interaction"
225;21100236009;"Actes de la Conference - IC 2005: 16es Journees Francophones d'Ingenierie des Connaissances";conference and proceedings;"-";0,101;-;2;0;22;0;3;20;0,14;0,00;France;Western Europe;"";"";"Artificial Intelligence; Computational Theory and Mathematics"
226;21100243002;"Artificial Intelligence Applications and Innovations - IFIP TC12 WG12.5 - 2nd IFIP Conference on Artificial Intelligence Applications and Innovations, AIAI 2005";conference and proceedings;"-";0,101;-;5;0;96;0;3;94;0,03;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications"
227;21100264886;"Memorias de la 8th Conferencia Iberoamericana de Software Engineering - CIbSE 2005";conference and proceedings;"-";0,101;-;0;0;28;0;0;27;0,00;0,00;Spain;Western Europe;"";"";"Artificial Intelligence; Software"
228;21100289495;"MIPRO 2005 - 28th International Convention Proceedings: Computers in Technical Systems and Intelligent Systems";conference and proceedings;"-";0,101;-;3;0;28;0;0;27;0,00;0,00;Croatia;Eastern Europe;"";"";"Artificial Intelligence; Electrical and Electronic Engineering; Information Systems"
229;21100255719;"Proceedings of the 1st International Workshop on Artificial Neural Networks and Intelligent Information Processing, ANNIIP 2005 - In Conjunction with ICINCO 2005";conference and proceedings;"-";0,101;-;2;0;16;0;0;14;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Information Systems"
230;21100414931;"SISY 2005 - 3rd Serbian-Hungarian Joint Symposium on Intelligent Systems";conference and proceedings;"-";0,101;-;3;0;28;0;3;26;0,11;0,00;Serbia;Eastern Europe;"";"";"Software"
231;11800154515;"TAPIA'05 - 2005 Richard Tapia Celebration of Diversity in Computing Conference";conference and proceedings;"-";0,101;-;3;0;10;0;0;8;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics"
232;24951;"Automatic Control and Computer Sciences (English translation of Avtomatika i Vychislitel'naya Tekhnika)";journal;"01324160";0,100;Q4;6;0;134;0;19;134;0,17;0,00;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"1978-1980, 1991-2005";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4)"
233;21100286449;"Civil-Comp Proceedings";journal;"17593433";0,100;Q4;13;294;129;4277;1;125;0,02;14,55;United Kingdom;Western Europe;"Civil-Comp Press";"2003, 2005-2017";"Artificial Intelligence (Q4); Civil and Structural Engineering (Q4); Computational Theory and Mathematics (Q4); Environmental Engineering (Q4)"
234;21100496666;"International Astronautical Federation - 56th International Astronautical Congress 2005";conference and proceedings;"-";0,100;-;2;0;121;0;2;119;0,02;0,00;France;Western Europe;"";"";"Artificial Intelligence; Biochemistry, Genetics and Molecular Biology (miscellaneous); Information Systems"
235;15900154728;"Proceedings of the 2005 International Conference on Information and Knowledge Engineering, IKE'05";conference and proceedings;"-";0,100;-;2;0;54;0;3;52;0,06;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems"
236;21100431313;"Advanced Information and Knowledge Processing";book series;"21978441, 16103947";;-;16;27;0;378;0;0;0,00;14,00;United States;Northern America;"Springer Science + Business Media";"2006-2017, 2019-2021";"Artificial Intelligence; Information Systems; Information Systems and Management; Management Information Systems"
237;19700174602;"Cognitive Technologies";book series;"16112482";;-;15;44;0;1306;0;0;0,00;29,68;Germany;Western Europe;"Springer Verlag";"2006-2015, 2017-2018, 2020-2021";"Artificial Intelligence; Software"
238;4000148905;"IEEE Computational Intelligence Magazine";journal;"1556603X";;-;62;34;0;559;0;0;0,00;16,44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2021";"Artificial Intelligence; Theoretical Computer Science"
239;4700152208;"International Journal of Humanoid Robotics";journal;"02198436";;-;38;24;59;633;151;53;2,56;26,38;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2006-2021";"Artificial Intelligence; Mechanical Engineering"
240;19700186852;"Journal of Multimedia (discontinued)";journal;"17962048";;-;26;45;0;986;0;0;0,00;21,91;Finland;Western Europe;"Academy Publisher";"2006-2013";"Artificial Intelligence; Electrical and Electronic Engineering; Media Technology"
241;19700186824;"Journal of Software (discontinued)";journal;"1796217X";;-;32;15;0;354;0;0;0,00;23,60;Finland;Western Europe;"Academy Publisher";"2006-2014";"Artificial Intelligence; Human-Computer Interaction; Software"
242;4900152708;"Studies in Computational Intelligence";book series;"18609503, 1860949X";;-;73;314;0;8507;0;0;0,00;27,09;Germany;Western Europe;"Springer Verlag";"2006-2022";"Artificial Intelligence"
243;5000153105;"Understanding Complex Systems";book series;"18600840";;-;32;90;0;2050;0;0;0,00;22,78;Germany;Western Europe;"Springer Verlag";"2006-2021";"Artificial Intelligence; Computational Mechanics; Software"
