Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
909,21101024053,Big Data Mining and Analytics,journal,20960654,0.0,-,18,24,1161,121,24,5.04,48.38,China,Asiatic Region,Institute of Electrical and Electronics Engineers Inc.,2018-2021,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Information Systems,2019
910,21100970248,CAAI Transactions on Intelligence Technology,journal,"24686557, 24682322",0.0,-,21,48,1192,177,45,3.69,38.45,United Kingdom,Western Europe,John Wiley &amp; Sons Inc.,2017-2021,Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Information Systems,2019
911,21101048389,CCF Transactions on Pervasive Computing and Interaction,journal,25245228,0.0,-,6,0,1009,0,0,0.0,45.86,Germany,Western Europe,Springer Verlag,2019-2021,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction,2019
912,21100935898,Computer Science Journal of Moldova,journal,15614042,0.0,-,3,0,327,0,0,0.0,19.24,Moldova,Eastern Europe,Institute of Mathematics and Computer Science of Moldova,2019-2021,Artificial Intelligence; Computational Mathematics; Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications; Control and Optimization; Modeling and Simulation; Software,2019
913,21101019779,Cybersecurity,journal,"20964862, 25233246",0.0,-,10,16,962,27,16,1.69,41.83,United Kingdom,Western Europe,SpringerOpen,2018-2021,Artificial Intelligence; Computer Networks and Communications; Information Systems; Software,2019
914,21101017244,Drones,journal,2504446X,0.0,-,24,49,4251,197,48,4.02,51.22,Switzerland,Western Europe,MDPI AG,2017-2021,Aerospace Engineering; Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Information Systems,2019
915,21101039622,Engineered Science,journal,"2576988X, 25769898",0.0,-,32,39,2102,311,39,7.97,52.55,United States,Northern America,,2018-2021,Applied Mathematics; Artificial Intelligence; Chemistry (miscellaneous); Energy Engineering and Power Technology; Engineering (miscellaneous); Materials Science (miscellaneous); Physical and Theoretical Chemistry,2019
916,21101052354,Frontiers in Big Data,journal,2624909X,0.0,-,10,6,1949,4,5,0.67,39.78,Switzerland,Western Europe,Frontiers Media S.A.,2020-2021,Artificial Intelligence; Computer Science (miscellaneous); Information Systems,2019
917,21101048344,Granular Computing,journal,"23644974, 23644966",0.0,-,36,74,2787,625,72,7.04,53.6,Switzerland,Western Europe,Springer Nature Switzerland AG,2016-2021,Artificial Intelligence; Computer Science Applications; Information Systems,2019
918,21100976672,IEEE Transactions on Emerging Topics in Computational Intelligence,journal,2471285X,0.0,-,25,86,2073,501,78,5.83,50.56,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2017-2021,Artificial Intelligence; Computational Mathematics; Computer Science Applications; Control and Optimization,2019
919,21101013582,IEEE Transactions on Games,journal,"24751510, 24751502",0.0,-,46,104,1586,248,100,2.55,38.68,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2018-2021,Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software,2019
920,21100976127,IEEE Transactions on Intelligent Vehicles,journal,23798858,0.0,-,31,112,2115,932,106,5.81,37.77,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence; Automotive Engineering; Control and Optimization,2019
921,21101041933,IET Collaborative Intelligent Manufacturing,journal,25168398,0.0,-,8,0,640,0,0,0.0,45.71,United States,Northern America,John Wiley &amp; Sons Inc.,2019-2021,Artificial Intelligence; Computer Science Applications; Hardware and Architecture; Industrial and Manufacturing Engineering,2019
922,21100912216,IET Cyber-Physical Systems: Theory and Applications,journal,23983396,0.0,-,10,0,1514,0,0,0.0,33.64,United Kingdom,Western Europe,John Wiley &amp; Sons Inc.,2019-2021,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Information Systems,2019
923,21101051831,Intelligent Systems with Applications,journal,26673053,0.0,-,9,0,516,0,0,0.0,57.33,Netherlands,Western Europe,Elsevier BV,2021,Artificial Intelligence; Computer Science Applications; Computer Science (miscellaneous); Computer Vision and Pattern Recognition; Signal Processing,2019
924,21100970247,International Journal of Data and Network Science,journal,"25618148, 25618156",0.0,-,10,1,1947,2,1,2.0,74.88,Canada,Northern America,Growing Science,2018-2021,Artificial Intelligence; Communication; Computer Networks and Communications; Computer Science Applications; Information Systems; Software,2019
925,21101022413,International Journal of Information Technology (Singapore),journal,"25112104, 25112112",0.0,-,16,112,2644,155,105,1.38,23.61,Singapore,Asiatic Region,Springer Science + Business Media,2017-2021,Applied Mathematics; Artificial Intelligence; Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Information Systems,2019
926,21101058910,Internet of Things (Netherlands),journal,25426605,0.0,-,27,24,2676,154,23,6.42,50.49,Netherlands,Western Europe,Elsevier BV,2018-2021,Artificial Intelligence; Computer Science Applications; Computer Science (miscellaneous); Engineering (miscellaneous); Hardware and Architecture; Information Systems; Management of Technology and Innovation; Software,2019
927,21101033264,Journal of Forensic Document Examination,journal,"08950849, 26400677",0.0,-,3,18,128,1,11,0.07,16.0,United States,Northern America,Association of Forensic Document Examiners,2014-2019,Artificial Intelligence; Arts and Humanities (miscellaneous); Cognitive Neuroscience; Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition,2019
928,21101017498,Journal of Healthcare Informatics Research,journal,2509498X,0.0,-,10,31,1019,43,27,1.39,44.3,Switzerland,Western Europe,Springer Nature Switzerland AG,2017-2021,Artificial Intelligence; Computer Science Applications; Health Informatics; Information Systems,2019
929,21101029604,"Journal of Robotics, Networking and Artificial Life",journal,"23526386, 24059021",0.0,-,2,0,5,0,0,0.0,5.0,France,Western Europe,Atlantis Press,2019-2021,Artificial Intelligence; Computer Networks and Communications,2019
930,21101047452,Journal of Soft Computing in Civil Engineering,journal,25882872,0.0,-,10,41,920,59,41,1.44,32.86,Iran,Middle East,Pouyan Press,2019-2021,Artificial Intelligence; Building and Construction; Civil and Structural Engineering; Computer Science Applications,2019
931,21101017166,KI - Kunstliche Intelligenz,journal,"16101987, 09331875",0.0,-,23,148,1253,172,101,1.19,25.57,Switzerland,Western Europe,Springer Nature Switzerland AG,2010-2021,Artificial Intelligence,2019
932,21101000293,"Mekhatronika, Avtomatizatsiya, Upravlenie",journal,"16846427, 26191253",0.0,-,4,0,1511,0,0,0.0,16.98,Russian Federation,Eastern Europe,New Technologies Publishing House,2019-2021,Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Human-Computer Interaction; Software,2019
933,21101007236,Nature Machine Intelligence,journal,25225839,0.0,-,26,0,1908,0,0,0.0,30.29,Switzerland,Western Europe,Springer Nature Switzerland AG,2019-2021,Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software,2019
934,21101054787,Quantum Machine Intelligence,journal,"25244914, 25244906",0.0,-,7,0,386,0,0,0.0,35.09,Germany,Western Europe,Springer Science and Business Media Deutschland GmbH,2019-2021,Applied Mathematics; Artificial Intelligence; Computational Theory and Mathematics; Software; Theoretical Computer Science,2019
935,21101037310,Register: Jurnal Ilmiah Teknologi Sistem Informasi,journal,"25023357, 25030477",0.0,-,4,42,256,10,42,0.21,18.29,Indonesia,Asiatic Region,Universitas Pesantren Tinggi Darul Ulum,2015-2022,Artificial Intelligence; Computer Science (miscellaneous); Decision Sciences (miscellaneous); Information Systems; Information Systems and Management,2019
936,21101041536,SAE International Journal of Connected and Automated Vehicles,journal,"25740741, 2574075X",0.0,-,3,0,53,0,0,0.0,26.5,United States,Northern America,SAE International,2019-2021,Artificial Intelligence; Automotive Engineering; Computer Science Applications; Control and Systems Engineering,2019
937,21101022415,Spatial Information Research,journal,23663294,0.0,-,15,206,2106,286,206,1.67,35.1,Singapore,Asiatic Region,Springer Science + Business Media,2016-2021,"Artificial Intelligence; Computer Science Applications; Computers in Earth Sciences; Geography, Planning and Development",2019
938,21101054326,Studies in Big Data,book series,"21976511, 21976503",0.0,-,7,50,34,58,46,1.43,34.0,Germany,Western Europe,Springer Science and Business Media Deutschland GmbH,2021,Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Engineering (miscellaneous),2019
1,21100886132,Science Robotics,journal,24709476,5.619,Q1,66,217,3171,4030,198,18.58,36.45,United States,Northern America,American Association for the Advancement of Science,2016-2021,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1),2020
2,21101007236,Nature Machine Intelligence,journal,25225839,4.894,Q1,26,63,2826,803,31,12.75,40.96,Switzerland,Western Europe,Springer Nature Switzerland AG,2019-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1),2020
3,19300156903,Foundations and Trends in Machine Learning,journal,"19358245, 19358237",4.292,Q1,36,12,528,468,12,39.56,132.0,United States,Northern America,Now Publishers Inc,2008-2021,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1),2020
4,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,01628828,3.811,Q1,377,638,13393,18191,617,21.14,46.34,United States,Northern America,IEEE Computer Society,1978-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2020
6,24242,IEEE Transactions on Fuzzy Systems,journal,10636706,2.886,Q1,202,660,12956,7269,655,11.32,45.3,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1993-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1),2020
7,21100235616,IEEE Transactions on Neural Networks and Learning Systems,journal,"2162237X, 21622388",2.882,Q1,221,1117,22767,13663,1108,11.43,45.63,United States,Northern America,IEEE Computational Intelligence Society,2012-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1),2020
8,15631,International Journal of Information Management,journal,02684012,2.77,Q1,132,382,19364,5712,373,15.75,88.83,United Kingdom,Western Europe,Elsevier Ltd.,"1970, 1986-2022",Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1),2020
9,22478,Journal of Memory and Language,journal,"10960821, 0749596X",2.442,Q1,156,220,4134,878,219,2.43,70.07,United States,Northern America,Academic Press Inc.,1985-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2020
10,12872,Cognitive Psychology,journal,"10955623, 00100285",2.223,Q1,123,97,2612,363,97,3.34,76.82,United States,Northern America,Academic Press Inc.,1970-2021,Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2020
11,21100940460,Network Neuroscience,journal,24721751,2.128,Q1,22,107,1740,470,103,3.66,87.0,United States,Northern America,MIT Press Journals,2017-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q1),2020
12,21100779064,Soft Robotics,journal,21695172,1.998,Q1,50,164,2670,1476,161,8.66,41.72,United States,Northern America,Mary Ann Liebert Inc.,2014-2021,Artificial Intelligence (Q1); Biophysics (Q1); Control and Systems Engineering (Q1),2020
13,4000148905,IEEE Computational Intelligence Magazine,journal,1556603X,1.834,Q1,62,125,1109,1005,77,8.47,26.4,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2006-2021,Artificial Intelligence (Q1); Theoretical Computer Science (Q1),2020
14,18050,International Journal of Robotics Research,journal,"02783649, 17413176",1.786,Q1,170,262,5035,2184,255,7.02,53.0,United States,Northern America,SAGE Publications Inc.,1982-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1),2020
15,13017,Physics of Life Reviews,journal,"18731457, 15710645",1.785,Q1,67,317,2062,567,49,2.08,31.72,Netherlands,Western Europe,Elsevier,2004-2021,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1),2020
16,72242,International Journal of Computer Vision,journal,"09205691, 15731405",1.78,Q1,201,269,9511,2951,259,10.15,61.76,Netherlands,Western Europe,Springer Netherlands,1987-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2020
17,23127,Journal of the ACM,journal,"00045411, 1557735X",1.672,Q1,131,142,1852,527,129,3.39,48.74,United States,Northern America,Association for Computing Machinery (ACM),1954-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2020
18,24772,Knowledge-Based Systems,journal,09507051,1.587,Q1,135,1185,36802,10458,1180,8.84,51.33,Netherlands,Western Europe,Elsevier,1987-2021,Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1),2020
19,15134,Information Sciences,journal,00200255,1.524,Q1,194,2179,40055,16589,2167,7.44,43.16,United States,Northern America,Elsevier Inc.,1968-2022,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1),2020
21,12874,Cognitive Science,journal,"03640213, 15516709",1.498,Q1,120,408,6826,1080,393,2.37,66.92,United States,Northern America,Wiley-Blackwell,1977-2021,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1),2020
22,24823,Pattern Recognition,journal,00313203,1.492,Q1,218,1178,19522,11156,1166,9.18,47.38,United Kingdom,Western Europe,Elsevier Ltd.,1968-2022,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),2020
24,21100854831,IEEE Transactions on Cognitive Communications and Networking,journal,23327731,1.421,Q1,33,177,4270,1312,170,5.75,39.54,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2015-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1),2020
26,24804,Neural Networks,journal,"08936080, 18792782",1.396,Q1,154,579,19774,5277,574,9.45,53.01,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1),2020
27,24201,Expert Systems with Applications,journal,09574174,1.368,Q1,225,1945,42314,16405,1943,8.15,54.95,United Kingdom,Western Europe,Elsevier Ltd.,1990-2022,Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1),2020
28,24305,International Journal of Intelligent Systems,journal,"1098111X, 08848173",1.291,Q1,92,318,4008,2365,314,7.71,48.29,United Kingdom,Western Europe,John Wiley and Sons Ltd,1986-2021,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1),2020
29,21100367773,IEEE/CAA Journal of Automatica Sinica,journal,"23299266, 23299274",1.277,Q1,52,370,6212,2529,347,6.7,42.55,United States,Northern America,IEEE Advancing Technology for Humanity,2014-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Information Systems (Q1),2020
30,24363,Journal of Intelligent Manufacturing,journal,"15728145, 09565515",1.271,Q1,85,445,6863,2574,440,5.87,54.9,Netherlands,Western Europe,Springer Netherlands,1990-2021,Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1),2020
31,20969,Journal of Machine Learning Research,journal,"15337928, 15324435",1.24,Q1,221,545,13524,3492,543,5.55,53.67,United States,Northern America,Microtome Publishing,2001-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1),2020
32,24141,Artificial Intelligence Review,journal,"02692821, 15737462",1.195,Q1,86,187,17311,1714,187,9.01,97.8,Netherlands,Western Europe,Springer Netherlands,1986-2021,Artificial Intelligence (Q1); Linguistics and Language (Q1),2020
33,19900191735,Topics in Cognitive Science,journal,"17568765, 17568757",1.191,Q1,61,176,4448,403,136,2.33,56.3,United States,Northern America,Wiley-Blackwell,2009-2021,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2),2020
34,21100790723,Computability,journal,"22113576, 22113568",1.136,Q1,10,52,395,54,50,0.97,21.94,Netherlands,Western Europe,IOS Press BV,2012-2021,Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Theoretical Computer Science (Q1),2020
35,21100976672,IEEE Transactions on Emerging Topics in Computational Intelligence,journal,2471285X,1.135,Q1,25,127,3184,840,115,7.42,46.82,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2017-2021,Artificial Intelligence (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Control and Optimization (Q1),2020
36,21100900379,IEEE Robotics and Automation Letters,journal,23773766,1.123,Q1,63,1423,26114,8023,1419,5.41,29.18,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence (Q1); Biomedical Engineering (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1),2020
37,23640,Advanced Engineering Informatics,journal,14740346,1.107,Q1,90,295,8184,2000,289,6.55,56.05,United Kingdom,Western Europe,Elsevier Ltd.,2002-2021,Artificial Intelligence (Q1); Information Systems (Q1),2020
38,24182,Engineering Applications of Artificial Intelligence,journal,09521976,1.106,Q1,114,638,19889,4335,634,6.97,55.56,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1),2020
39,24807,Neurocomputing,journal,09252312,1.085,Q1,157,3584,73980,23860,3533,6.61,47.82,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q1); Computer Science Applications (Q1); Cognitive Neuroscience (Q2),2020
41,24286,International Journal of Approximate Reasoning,journal,"0888613X, 18734731",1.039,Q1,100,496,6026,1937,475,4.25,46.71,United States,Northern America,Elsevier Inc.,"1974, 1987-2021",Applied Mathematics (Q1); Artificial Intelligence (Q1); Software (Q1); Theoretical Computer Science (Q1),2020
42,21100976127,IEEE Transactions on Intelligent Vehicles,journal,23798858,0.999,Q1,31,136,2450,916,132,5.98,34.51,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1),2020
44,144945,Networks and Spatial Economics,journal,1566113X,0.983,Q1,52,146,1889,357,144,2.25,49.71,Netherlands,Western Europe,Kluwer Academic Publishers,2005-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Software (Q1),2020
46,24140,Artificial Intelligence in Medicine,journal,"09333657, 18732860",0.98,Q1,93,245,9065,1708,237,6.49,54.94,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1),2020
47,23675,Artificial Intelligence,journal,00043702,0.96,Q1,155,230,5541,1290,228,5.48,56.54,Netherlands,Western Europe,Elsevier,1970-2022,Artificial Intelligence (Q1); Linguistics and Language (Q1),2020
48,21100865476,Synthesis Lectures on the Semantic Web: Theory and Technology,book series,"21604711, 2160472X",0.951,Q1,9,3,314,10,2,4.0,314.0,United States,Northern America,Morgan and Claypool Publishers,2011-2020,Artificial Intelligence (Q1); Computer Networks and Communications (Q1),2020
49,18016,Autonomous Robots,journal,"15737527, 09295593",0.948,Q1,117,314,3435,1528,306,4.27,39.94,Netherlands,Western Europe,Springer Netherlands,1994-2021,Artificial Intelligence (Q1),2020
50,26803,Journal of Pragmatics,journal,03782166,0.942,Q1,103,492,9387,838,459,1.52,55.22,Netherlands,Western Europe,Elsevier,1977-2021,Artificial Intelligence (Q1); Linguistics and Language (Q1),2020
51,17700156773,Synthesis Lectures on Artificial Intelligence and Machine Learning,book series,"19394616, 19394608",0.927,Q1,26,8,771,79,6,9.17,192.75,United States,Northern America,Morgan and Claypool Publishers,2009-2021,Artificial Intelligence (Q1),2020
53,19700190323,ACM Transactions on Intelligent Systems and Technology,journal,"21576912, 21576904",0.914,Q1,65,199,4144,1194,192,7.54,59.2,United States,Northern America,Association for Computing Machinery (ACM),2010-2021,Artificial Intelligence (Q1); Theoretical Computer Science (Q1),2020
54,36450,Design Studies,journal,0142694X,0.91,Q1,98,152,2255,593,142,2.88,68.33,United Kingdom,Western Europe,Elsevier Ltd.,1979-2021,Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),2020
56,26529,Fuzzy Sets and Systems,journal,01650114,0.902,Q1,174,570,7716,2025,560,3.32,34.6,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q1); Logic (Q1),2020
57,19600166036,International Journal of Artificial Intelligence,journal,09740635,0.883,Q1,28,70,830,225,67,3.52,30.74,India,Asiatic Region,Indian Society for Development and Environment Research,2009-2021,Artificial Intelligence (Q1),2020
58,21100902642,International Journal of Computational Intelligence in Control (discontinued),journal,09748571,0.881,Q1,4,12,1155,89,12,7.42,39.83,India,Asiatic Region,Muk Publications and Distributions,2018-2021,Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems and Management (Q1); Biotechnology (Q2),2020
59,21100285028,IEEE Transactions on Human-Machine Systems,journal,21682291,0.873,Q1,127,233,2934,1168,231,4.18,50.59,United States,Northern America,"IEEE Systems, Man, and Cybernetics Society",2013-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Human Factors and Ergonomics (Q1); Signal Processing (Q1),2020
60,13880,Artificial Intelligence and Law,journal,"09248463, 15728382",0.856,Q1,41,50,830,234,46,3.55,46.11,Netherlands,Western Europe,Springer Netherlands,"1992-1993, 1995-2021",Artificial Intelligence (Q1); Law (Q1),2020
62,110111,IEEE Intelligent Systems,journal,15411672,0.806,Q1,129,155,882,764,145,4.0,13.36,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2001-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1),2020
63,24777,Minds and Machines,journal,"09246495, 15728641",0.806,Q1,44,102,1864,286,86,3.28,62.13,Netherlands,Western Europe,Springer Netherlands,1991-2021,Artificial Intelligence (Q1); Philosophy (Q1),2020
64,18197,Integrated Computer-Aided Engineering,journal,"10692509, 18758835",0.801,Q2,45,86,947,366,83,4.19,59.19,Netherlands,Western Europe,IOS Press BV,1993-2021,Computational Theory and Mathematics (Q1); Software (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Theoretical Computer Science (Q2),2020
65,23674,Applied Intelligence,journal,"0924669X, 15737497",0.791,Q2,72,684,13185,3446,682,5.16,46.26,Netherlands,Western Europe,Springer Netherlands,1991-2021,Artificial Intelligence (Q2),2020
66,24330,Journal of Artificial Intelligence Research,journal,10769757,0.79,Q2,123,212,5205,1081,212,5.59,63.48,United States,Northern America,"Morgan Kaufmann Publishers, Inc.","1993, 1996-2021",Artificial Intelligence (Q2),2020
68,24207,Fuzzy Optimization and Decision Making,journal,"15732908, 15684539",0.747,Q2,56,71,689,303,71,3.66,28.71,United States,Northern America,Springer New York,2002-2021,Logic (Q1); Software (Q1); Artificial Intelligence (Q2),2020
70,21100836194,ICT Express,journal,24059595,0.733,Q2,27,141,1240,785,140,5.99,18.24,South Korea,Asiatic Region,Korean Institute of Communications Information Sciences,2015-2021,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2),2020
72,12358,International Journal of Fuzzy Systems,journal,"15622479, 21993211",0.73,Q2,47,541,7998,2268,534,4.49,42.09,Switzerland,Western Europe,Springer International Publishing AG,2004-2021,Software (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2),2020
73,21100784665,IEEE Transactions on Cognitive and Developmental Systems,journal,"23798920, 23798939",0.714,Q2,43,175,3440,701,172,3.88,34.75,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Software (Q1); Artificial Intelligence (Q2),2020
74,21101017244,Drones,journal,2504446X,0.713,Q2,24,132,4146,722,127,5.46,53.15,Switzerland,Western Europe,MDPI AG,2017-2021,Aerospace Engineering (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2),2020
75,24800,Neural Computing and Applications,journal,"09410643, 14333058",0.713,Q2,94,1694,54912,8767,1676,5.14,44.5,United Kingdom,Western Europe,Springer London,1993-2021,Software (Q1); Artificial Intelligence (Q2),2020
77,21100369426,Advances in Computer Vision and Pattern Recognition,book series,"21916594, 21916586",0.699,Q2,20,192,3648,323,1,0.81,57.0,United States,Northern America,Springer Science + Business Media,"2005, 2014-2015, 2017-2021",Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Signal Processing (Q2),2020
78,21100792090,Journal of Artificial Intelligence and Soft Computing Research,journal,"24496499, 20832567",0.691,Q2,22,67,828,329,66,4.94,41.4,Poland,Eastern Europe,De Gruyter Open Ltd.,"2013, 2015-2021",Computer Vision and Pattern Recognition (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Modeling and Simulation (Q2),2020
79,21100873335,Journal of Control and Decision,journal,"23307714, 23307706",0.686,Q2,16,49,792,150,48,3.59,37.71,United Kingdom,Western Europe,Taylor and Francis Ltd.,2014-2021,Computer Networks and Communications (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Signal Processing (Q2),2020
80,15435,Journal of Consciousness Studies,journal,"20512201, 13558250",0.685,Q2,67,224,2800,244,212,1.21,38.36,United Kingdom,Western Europe,Imprint Academic,1996-2021,"Philosophy (Q1); Artificial Intelligence (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2)",2020
81,28424,Theory and Practice of Logic Programming,journal,"14753081, 14710684",0.685,Q2,46,141,1368,241,134,1.71,31.81,United Kingdom,Western Europe,Cambridge University Press,2001-2021,Hardware and Architecture (Q1); Software (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2),2020
82,19700177336,International Journal of Machine Learning and Cybernetics,journal,"1868808X, 18688071",0.681,Q2,49,570,8923,2263,563,3.99,50.41,United States,Northern America,Springer Science + Business Media,2010-2021,Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2),2020
84,24825,Pattern Recognition Letters,journal,01678655,0.669,Q2,163,913,18395,4309,892,4.55,35.38,Netherlands,Western Europe,Elsevier,1982-2021,Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Signal Processing (Q2),2020
85,21100199837,Frontiers in Neurorobotics,journal,16625218,0.668,Q2,39,264,6096,1002,257,3.19,53.47,Switzerland,Western Europe,Frontiers Media S.A.,2007-2021,Artificial Intelligence (Q2); Biomedical Engineering (Q2),2020
86,24775,Machine Learning,journal,"15730565, 08856125",0.667,Q2,153,233,4050,880,218,3.64,47.65,Netherlands,Western Europe,Springer Netherlands,1986-2021,Software (Q1); Artificial Intelligence (Q2),2020
